run_id,depth,iteration,prove_wall_ms,prove_log_ms,verify_wall_ms,proof_size_bytes,proof_path,prove_log_path,verify_log_path
1,8,1,12726,12620,64,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run1_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run1_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run1_verify.log
2,8,2,13542,13440,68,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run2_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run2_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run2_verify.log
3,8,3,13782,13680,71,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run3_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run3_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run3_verify.log
4,8,4,13250,13140,70,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run4_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run4_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run4_verify.log
5,8,5,12742,12640,68,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run5_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run5_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run5_verify.log
6,8,6,12277,12170,66,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run6_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run6_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run6_verify.log
7,8,7,17896,17790,64,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run7_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run7_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run7_verify.log
8,8,8,12267,12160,66,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run8_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run8_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run8_verify.log
9,8,9,12421,12330,66,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run9_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run9_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run9_verify.log
10,8,10,12466,12380,60,14048899,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run10_proof.json,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run10_prove.log,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run10_verify.log
