run_id,depth,iteration,verified,verify_log,relation__Cube252,relation__MemoryAddressToId,relation__MemoryIdToBig,relation__Opcodes,relation__Poseidon3PartialRoundsChain,relation__PoseidonFullRoundChain,relation__PoseidonRoundKeys,relation__RangeCheckFelt252Width27,relation__RangeCheck_11,relation__RangeCheck_18,relation__RangeCheck_19,relation__RangeCheck_3_3_3_3_3,relation__RangeCheck_4_3,relation__RangeCheck_4_4,relation__RangeCheck_4_4_4_4,relation__RangeCheck_7_2_5,relation__RangeCheck_8,relation__RangeCheck_9_9,relation__VerifyInstruction
depth_16_run1_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run1_run1771604210_verify.log,7808,6032,3856,2096,2112,640,2560,6272,48,73728,459712,3200,512,6336,12672,512,64,392704,2096
depth_16_run2_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run2_run1771604210_verify.log,7808,6032,3856,2096,2112,640,2560,6272,48,73728,459712,3200,512,6336,12672,512,64,392704,2096
depth_16_run3_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_16_run3_run1771604210_verify.log,7808,6032,3856,2096,2112,640,2560,6272,48,73728,459712,3200,512,6336,12672,512,64,392704,2096
depth_20_run1_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run1_run1771604210_verify.log,7808,7728,5552,2640,2112,640,2560,6272,48,73728,460608,3200,512,6336,12672,512,64,396288,2640
depth_20_run2_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run2_run1771604210_verify.log,7808,7728,5552,2640,2112,640,2560,6272,48,73728,460608,3200,512,6336,12672,512,64,396288,2640
depth_20_run3_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_20_run3_run1771604210_verify.log,7808,7728,5552,2640,2112,640,2560,6272,48,73728,460608,3200,512,6336,12672,512,64,396288,2640
depth_32_run1_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_32_run1_run1771604210_verify.log,15616,11440,7088,4112,4224,1280,5120,12544,48,147456,919424,6400,512,12672,25344,512,128,781312,4112
depth_32_run2_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_32_run2_run1771604210_verify.log,15616,11440,7088,4112,4224,1280,5120,12544,48,147456,919424,6400,512,12672,25344,512,128,781312,4112
depth_32_run3_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_32_run3_run1771604210_verify.log,15616,11440,7088,4112,4224,1280,5120,12544,48,147456,919424,6400,512,12672,25344,512,128,781312,4112
depth_8_run1_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run1_run1771604210_verify.log,3904,4208,3056,1360,1056,320,1280,3136,48,36864,230304,1600,512,3168,6336,512,32,198144,1360
depth_8_run2_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run2_run1771604210_verify.log,3904,4208,3056,1360,1056,320,1280,3136,48,36864,230304,1600,512,3168,6336,512,32,198144,1360
depth_8_run3_run1771604210_verify,,,yes,/Users/espejelomar/StarkNet/zk-ai/zk-api-credits/scripts/results/depth_8_run3_run1771604210_verify.log,3904,4208,3056,1360,1056,320,1280,3136,48,36864,230304,1600,512,3168,6336,512,32,198144,1360
